rating,release_year,title
9.3,"(1994,)",The Shawshank Redemption
9.2,"(1972,)",The Godfather
9,"(2008,)",The Dark Knight
9,"(1974,)",The Godfather Part II
9,"(1957,)",12 Angry Men
9,"(2003,)",The Lord of the Rings: The Return of the King
9,"(1993,)",Schindler's List
8.9,"(1994,)",Pulp Fiction
8.9,"(2001,)",The Lord of the Rings: The Fellowship of the Ring
8.8,"(1966,)","The Good, the Bad and the Ugly"
8.8,"(1994,)",Forrest Gump
8.8,"(2002,)",The Lord of the Rings: The Two Towers
8.8,"(1999,)",Fight Club
8.8,"(2010,)",Inception
8.7,"(1980,)",Star Wars: Episode V - The Empire Strikes Back
8.7,"(1999,)",The Matrix
8.7,"(1990,)",Goodfellas
8.7,"(1975,)",One Flew Over the Cuckoo's Nest
8.7,"(2014,)",Interstellar
8.6,"(1995,)",Se7en
8.6,"(1946,)",It's a Wonderful Life
8.6,"(1954,)",Seven Samurai
8.6,"(1991,)",The Silence of the Lambs
8.6,"(1998,)",Saving Private Ryan
8.6,"(2002,)",City of God
8.6,"(1999,)",The Green Mile
8.6,"(1997,)",Life Is Beautiful
8.6,"(1991,)",Terminator 2: Judgment Day
8.6,"(1977,)",Star Wars: Episode IV - A New Hope
8.5,"(1985,)",Back to the Future
8.6,"(2001,)",Spirited Away
8.5,"(2002,)",The Pianist
8.5,"(2019,)",Parasite
8.5,"(2000,)",Gladiator
8.5,"(1960,)",Psycho
8.5,"(1994,)",The Lion King
8.5,"(2006,)",The Departed
8.5,"(1988,)",Grave of the Fireflies
8.5,"(2014,)",Whiplash
8.6,"(2023,)",Spider-Man: Across the Spider-Verse
8.5,"(1998,)",American History X
8.5,"(2006,)",The Prestige
8.5,"(1994,)",Léon: The Professional
8.6,"(1962,)",Harakiri
8.5,"(1942,)",Casablanca
8.5,"(1995,)",The Usual Suspects
8.5,"(2011,)",The Intouchables
8.5,"(1988,)",Cinema Paradiso
8.5,"(2024,)",Dune: Part Two
8.5,"(1936,)",Modern Times
8.5,"(1979,)",Alien
8.5,"(1954,)",Rear Window
8.5,"(1968,)",Once Upon a Time in the West
8.5,"(2012,)",Django Unchained
8.5,"(1931,)",City Lights
8.4,"(1979,)",Apocalypse Now
8.4,"(2000,)",Memento
8.4,"(2008,)",WALL·E
8.4,"(1981,)",Raiders of the Lost Ark
8.4,"(2006,)",The Lives of Others
8.8,"(2023,)",12th Fail
8.4,"(2018,)",Avengers: Infinity War
8.4,"(1950,)",Sunset Boulevard
8.4,"(2018,)",Spider-Man: Into the Spider-Verse
8.4,"(1957,)",Paths of Glory
8.4,"(1957,)",Witness for the Prosecution
8.4,"(1980,)",The Shining
8.4,"(1940,)",The Great Dictator
8.4,"(1986,)",Aliens
8.4,"(2009,)",Inglourious Basterds
8.4,"(2012,)",The Dark Knight Rises
8.4,"(2017,)",Coco
8.4,"(1984,)",Amadeus
8.3,"(1995,)",Toy Story
8.3,"(2003,)",Oldboy
8.3,"(1964,)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
8.4,"(2019,)",Avengers: Endgame
8.3,"(1999,)",American Beauty
8.3,"(1997,)",Good Will Hunting
8.4,"(1981,)",Das Boot
8.3,"(1995,)",Braveheart
8.3,"(1997,)",Princess Mononoke
8.4,"(2016,)",Your Name.
8.4,"(1963,)",High and Low
8.4,"(2019,)",Joker
8.4,"(2009,)",3 Idiots
8.3,"(1984,)",Once Upon a Time in America
8.3,"(1952,)",Singin' in the Rain
8.4,"(2018,)",Capernaum
8.3,"(1985,)",Come and See
8.3,"(2000,)",Requiem for a Dream
8.3,"(2010,)",Toy Story 3
8.3,"(1983,)",Star Wars: Episode VI - Return of the Jedi
8.3,"(2012,)",The Hunt
8.3,"(2004,)",Eternal Sunshine of the Spotless Mind
8.3,"(1952,)",Ikiru
8.3,"(1968,)",2001: A Space Odyssey
8.3,"(1992,)",Reservoir Dogs
8.3,"(1960,)",The Apartment
8.3,"(1962,)",Lawrence of Arabia
8.3,"(2010,)",Incendies
8.3,"(1983,)",Scarface
8.3,"(1959,)",North by Northwest
8.3,"(1944,)",Double Indemnity
8.3,"(1941,)",Citizen Kane
8.3,"(1931,)",M
8.3,"(1995,)",Heat
8.3,"(1958,)",Vertigo
8.2,"(1987,)",Full Metal Jacket
8.3,"(2009,)",Up
8.3,"(2001,)",Amélie
8.3,"(2023,)",Oppenheimer
8.2,"(1971,)",A Clockwork Orange
8.3,"(1962,)",To Kill a Mockingbird
8.3,"(2011,)",A Separation
8.3,"(1973,)",The Sting
8.2,"(1988,)",Die Hard
8.3,"(2007,)",Like Stars on Earth
8.2,"(1989,)",Indiana Jones and the Last Crusade
8.3,"(1927,)",Metropolis
8.2,"(2000,)",Snatch
8.2,"(2019,)",1917
8.2,"(1997,)",L.A. Confidential
8.3,"(1948,)",Bicycle Thieves
8.2,"(2004,)",Downfall
8.3,"(2016,)",Dangal
8.2,"(1976,)",Taxi Driver
8.3,"(2020,)",Hamilton
8.2,"(2013,)",The Wolf of Wall Street
8.2,"(2005,)",Batman Begins
8.2,"(1965,)",For a Few Dollars More
8.2,"(2018,)",Green Book
8.2,"(1959,)",Some Like It Hot
8.2,"(1998,)",The Truman Show
8.3,"(1961,)",Judgment at Nuremberg
8.2,"(1921,)",The Kid
8.2,"(2020,)",The Father
8.2,"(2010,)",Shutter Island
8.2,"(1950,)",All About Eve
8.2,"(2007,)",There Will Be Blood
8.2,"(1993,)",Jurassic Park
8.2,"(1995,)",Casino
8.2,"(2022,)",Top Gun: Maverick
8.2,"(1999,)",The Sixth Sense
8.2,"(1985,)",Ran
8.2,"(2007,)",No Country for Old Men
8.2,"(2006,)",Pan's Labyrinth
8.2,"(1982,)",The Thing
8.2,"(1992,)",Unforgiven
8.2,"(2001,)",A Beautiful Mind
8.2,"(2003,)",Kill Bill: Vol. 1
8.2,"(1948,)",The Treasure of the Sierra Madre
8.2,"(1961,)",Yojimbo
8.2,"(2013,)",Prisoners
8.2,"(2003,)",Finding Nemo
8.3,"(2024,)",The Wild Robot
8.2,"(1963,)",The Great Escape
8.2,"(1975,)",Monty Python and the Holy Grail
8.2,"(2004,)",Howl's Moving Castle
8.2,"(1980,)",The Elephant Man
8.2,"(1950,)",Rashomon
8.2,"(1954,)",Dial M for Murder
8.2,"(1939,)",Gone with the Wind
8.1,"(1974,)",Chinatown
8.2,"(2009,)",The Secret in Their Eyes
8.1,"(1998,)","Lock, Stock and Two Smoking Barrels"
8.1,"(2015,)",Inside Out
8.1,"(2005,)",V for Vendetta
8.2,"(2019,)",Klaus
8.1,"(2017,)","Three Billboards Outside Ebbing, Missouri"
8.1,"(1980,)",Raging Bull
8.1,"(1996,)",Trainspotting
8.1,"(1957,)",The Bridge on the River Kwai
8.1,"(2002,)",Catch Me If You Can
8.7,"(2021,)",Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc
8.1,"(1996,)",Fargo
8.1,"(2011,)",Warrior
8.2,"(2021,)",Spider-Man: No Way Home
8.1,"(2011,)",Harry Potter and the Deathly Hallows: Part 2
8.1,"(2008,)",Gran Torino
8.1,"(2004,)",Million Dollar Baby
8.1,"(1988,)",My Neighbor Totoro
8.1,"(2015,)",Mad Max: Fury Road
8.1,"(1959,)",Ben-Hur
8.2,"(1997,)",Children of Heaven
8.1,"(2013,)",12 Years a Slave
8.1,"(1975,)",Barry Lyndon
8.1,"(1982,)",Blade Runner
8.1,"(1995,)",Before Sunrise
8.1,"(2014,)",The Grand Budapest Hotel
8.1,"(2016,)",Hacksaw Ridge
8.1,"(1989,)",Dead Poets Society
8.1,"(2014,)",Gone Girl
8.1,"(2003,)",Memories of Murder
8.1,"(1993,)",In the Name of the Father
8.1,"(1925,)",The Gold Rush
8.1,"(2001,)","Monsters, Inc."
8.5,"(2024,)",Maharaja
8.1,"(2014,)",Wild Tales
8.1,"(2007,)",Ratatouille
8.1,"(2010,)",How to Train Your Dragon
8.1,"(1975,)",Jaws
8.1,"(1978,)",The Deer Hunter
8.2,"(1924,)",Sherlock Jr.
8.1,"(1926,)",The General
8.1,"(2009,)",Mary and Max
8.1,"(1954,)",On the Waterfront
8.1,"(1953,)",The Wages of Fear
8.1,"(2019,)",Ford v Ferrari
8.1,"(1939,)",Mr. Smith Goes to Washington
8.1,"(1957,)",Wild Strawberries
8.1,"(1949,)",The Third Man
8.1,"(2017,)",Logan
8.1,"(1976,)",Rocky
8.1,"(1953,)",Tokyo Story
8.1,"(1998,)",The Big Lebowski
8.1,"(1957,)",The Seventh Seal
8.1,"(2015,)",Spotlight
8.1,"(2015,)",Room
8.1,"(1984,)",The Terminator
8.1,"(2004,)",Hotel Rwanda
8.1,"(1986,)",Platoon
8.1,"(2003,)",Pirates of the Caribbean: The Curse of the Black Pearl
8.1,"(1995,)",La haine
8.1,"(2004,)",Before Sunset
8.1,"(1946,)",The Best Years of Our Lives
8.7,"(2021,)",Jai Bhim
8.1,"(1928,)",The Passion of Joan of Arc
8.1,"(1973,)",The Exorcist
8.1,"(1939,)",The Wizard of Oz
8,"(2004,)",The Incredibles
8.1,"(2013,)",Rush
8.1,"(1976,)",Network
8.1,"(1986,)",Stand by Me
8.1,"(2009,)",Hachi: A Dog's Tale
8.1,"(1965,)",The Sound of Music
8.2,"(1956,)",A Man Escaped
8.2,"(2005,)",My Father and My Son
8.1,"(2016,)",The Handmaiden
8.1,"(1942,)",To Be or Not to Be
8.1,"(1966,)",The Battle of Algiers
8.1,"(2007,)",Into the Wild
8.1,"(1999,)",The Iron Giant
8.1,"(1940,)",The Grapes of Wrath
8,"(1993,)",Groundhog Day
8,"(2000,)",Amores Perros
8.1,"(2011,)",The Help
8.1,"(1940,)",Rebecca
8.1,"(2016,)",A Silent Voice: The Movie
8,"(1967,)",Cool Hand Luke
